invoice_no,vendor_name,job_no,job_description,project_manager_name,invoice_date,transaction_date,invoice_amount,amount_paid,total_due,retainage_amount,open_for_aging,days_outstanding,aging_bucket,original_retainage_amount
000006.12182,Meals and Entertainment,,,,2025-12-18,2025-12-18,135.7,0.0,135.7,0.0,135.7,21,0-30,0.0
0000100008,"Bay Print Solutions, Inc.",1.0,CA Overhead / Office Admin,G&A,2015-08-20,2015-08-20,654.09,1308.18,-654.09,0.0,0.0,3794,90+,0.0
000015,Gas/other vehicle expense,,,,2025-12-11,2025-12-11,42.99,0.0,42.99,0.0,42.99,28,0-30,0.0
000019,Meals and Entertainment,,,,2025-12-12,2025-12-12,99.94,0.0,99.94,0.0,99.94,27,0-30,0.0
0001844097,"Optum Financial, Inc.",,,,2025-12-12,2025-12-12,58.5,0.0,58.5,0.0,58.5,27,0-30,0.0
0004999,Metal-Werx LLC,,,,2021-05-18,2021-05-18,377.97,755.94,-377.97,0.0,0.0,1696,90+,0.0
000758459579,Mutual of Omaha,1.0,CA Overhead / Office Admin,G&A,2018-07-23,2018-07-23,944.75,2834.2499999999995,-1889.4999999999995,0.0,0.0,2726,90+,0.0
000878273434,Mutual of Omaha,1.0,CA Overhead / Office Admin,G&A,2019-03-01,2019-03-01,875.72,2627.1600000000003,-1751.4400000000003,0.0,0.0,2505,90+,0.0
001,Fernandes Healthcare Insights,,,,2019-04-20,2019-04-20,1500.0,4500.0,-3000.0,0.0,0.0,2455,90+,0.0
001019677619,Mutual of Omaha,,,,2019-11-01,2019-11-01,954.96,2864.88,-1909.92,0.0,0.0,2260,90+,0.0
001027458779,Mutual of Omaha,,,,2019-12-01,2019-12-01,1000.72,3002.1600000000003,-2001.4400000000003,0.0,0.0,2230,90+,0.0
001036910836,Mutual of Omaha,,,,2019-12-31,2019-12-31,956.34,2869.02,-1912.6799999999998,0.0,0.0,2200,90+,0.0
001049114520,Mutual of Omaha,,,,2020-02-01,2020-02-01,946.63,2839.89,-1893.2599999999998,0.0,0.0,2168,90+,0.0
001059953754,Mutual of Omaha,,,,2020-02-29,2020-02-29,977.42,2932.2599999999998,-1954.8399999999997,0.0,0.0,2140,90+,0.0
001070491487,Mutual of Omaha,,,,2020-04-01,2020-04-01,825.03,2475.09,-1650.0600000000002,0.0,0.0,2108,90+,0.0
001079783982,Mutual of Omaha,,,,2020-05-01,2020-05-01,958.14,2874.42,-1916.2800000000002,0.0,0.0,2078,90+,0.0
001087725418,Mutual of Omaha,,,,2020-06-01,2020-06-01,958.14,2874.42,-1916.2800000000002,0.0,0.0,2047,90+,0.0
001096325691,Mutual of Omaha,,,,2020-07-01,2020-07-01,958.14,2874.42,-1916.2800000000002,0.0,0.0,2017,90+,0.0
001105135228,Mutual of Omaha,,,,2020-08-01,2020-07-22,977.28,2931.84,-1954.5600000000002,0.0,0.0,1996,90+,0.0
001114273392,Mutual of Omaha,,,,2020-09-01,2020-08-18,973.95,2921.85,-1947.8999999999999,0.0,0.0,1969,90+,0.0
001132752703,Mutual of Omaha,,,,2020-11-01,2020-10-20,963.32,2889.96,-1926.6399999999999,0.0,0.0,1906,90+,0.0
001141633101,Mutual of Omaha,,,,2020-11-17,2020-11-17,1018.24,3054.7200000000003,-2036.4800000000002,0.0,0.0,1878,90+,0.0
001151613551,Mutual of Omaha,,,,2020-12-23,2020-12-23,1012.27,3036.81,-2024.54,0.0,0.0,1842,90+,0.0
001163138029,Mutual of Omaha,,,,2021-01-19,2021-01-19,959.57,2878.71,-1919.1399999999999,0.0,0.0,1815,90+,0.0
001175154440,Mutual of Omaha,,,,2021-03-01,2021-03-01,952.64,2857.92,-1905.2800000000002,0.0,0.0,1774,90+,0.0
001196941401,Mutual of Omaha,,,,2021-04-30,2021-04-30,973.44,2920.3199999999997,-1946.8799999999997,0.0,0.0,1714,90+,0.0
001207712414,Mutual of Omaha,,,,2021-06-01,2021-06-01,976.78,2930.34,-1953.5600000000002,0.0,0.0,1682,90+,0.0
001219086287,Mutual of Omaha,,,,2021-07-01,2021-07-01,989.26,2967.78,-1978.5200000000002,0.0,0.0,1652,90+,0.0
001230257575,Mutual of Omaha,,,,2021-08-01,2021-08-01,989.26,2967.78,-1978.5200000000002,0.0,0.0,1621,90+,0.0
001243291356,Mutual of Omaha,,,,2021-08-31,2021-08-31,1011.45,3034.3500000000004,-2022.9000000000003,0.0,0.0,1591,90+,0.0
001255254914,Mutual of Omaha,,,,2021-10-01,2021-10-01,1048.12,3144.36,-2096.2400000000002,0.0,0.0,1560,90+,0.0
001267218470,Mutual of Omaha,,,,2021-10-14,2021-10-14,944.08,2832.24,-1888.1599999999999,0.0,0.0,1547,90+,0.0
001278275581,Mutual of Omaha,,,,2021-12-01,2021-12-01,980.63,2941.89,-1961.2599999999998,0.0,0.0,1499,90+,0.0
001290483189,Mutual of Omaha,,,,2021-12-31,2021-12-31,997.96,2993.88,-1995.92,0.0,0.0,1469,90+,0.0
001305224543,Mutual of Omaha,,,,2022-02-01,2022-02-01,1054.0,3162.0,-2108.0,0.0,0.0,1437,90+,0.0
001321420395,Mutual of Omaha,,,,2022-03-01,2022-03-01,1010.41,3031.23,-2020.8200000000002,0.0,0.0,1409,90+,0.0
001336797990,Mutual of Omaha,,,,2022-03-16,2022-03-16,1054.79,3164.37,-2109.58,0.0,0.0,1394,90+,0.0
001349580407,Mutual of Omaha,,,,2022-04-13,2022-04-26,1131.75,3395.25,-2263.5,0.0,0.0,1353,90+,0.0
001363287389,Mutual of Omaha,,,,2022-06-01,2022-06-01,1098.47,3295.41,-2196.9399999999996,0.0,0.0,1317,90+,0.0
001376708892,Mutual of Omaha,,,,2022-06-24,2022-06-24,1177.16,3531.4800000000005,-2354.3200000000006,0.0,0.0,1294,90+,0.0
001388859620,Mutual of Omaha,,,,2022-07-20,2022-07-20,1177.16,3531.4800000000005,-2354.3200000000006,0.0,0.0,1268,90+,0.0
001431503887,Mutual of Omaha,,,,2022-10-14,2022-10-27,1200.04,3600.12,-2400.08,0.0,0.0,1169,90+,0.0
001474869095,Mutual of Omaha,,,,2023-01-31,2023-01-31,1231.34,3694.02,-2462.6800000000003,0.0,0.0,1073,90+,0.0
001491985891,Mutual of Omaha,,,,2023-02-28,2023-02-28,1247.98,3743.94,-2495.96,0.0,0.0,1045,90+,0.0
001506838242,Mutual of Omaha,,,,2023-03-21,2023-03-21,1247.98,3743.94,-2495.96,0.0,0.0,1024,90+,0.0
001520501344,Mutual of Omaha,,,,2023-04-21,2023-04-21,1247.98,3743.94,-2495.96,0.0,0.0,993,90+,0.0
001546698388,Mutual of Omaha,,,,2023-06-20,2023-06-20,1460.68,4382.04,-2921.3599999999997,0.0,0.0,933,90+,0.0
001612089468,Mutual of Omaha,,,,2023-11-30,2023-11-30,1474.44,4423.32,-2948.8799999999997,0.0,0.0,770,90+,0.0
001624679971,Mutual of Omaha,,,,2023-12-12,2023-12-12,1432.32,4296.96,-2864.6400000000003,0.0,0.0,758,90+,0.0
001691831432,Mutual of Omaha,,,,2024-04-30,2024-04-30,1406.33,4218.99,-2812.66,0.0,0.0,618,90+,0.0
001705631396,Mutual of Omaha,,,,2024-05-20,2024-05-20,1429.66,4288.98,-2859.3199999999997,0.0,0.0,598,90+,0.0
001719169421,Mutual of Omaha,,,,2024-07-01,2024-07-01,1451.33,4353.99,-2902.66,0.0,0.0,556,90+,0.0
001734689271,Mutual of Omaha,,,,2024-07-16,2024-07-16,1334.78,4004.34,-2669.5600000000004,0.0,0.0,541,90+,0.0
001749070267,Mutual of Omaha,,,,2024-08-22,2024-08-22,1480.4,4441.200000000001,-2960.8000000000006,0.0,0.0,504,90+,0.0
001763360764,Mutual of Omaha,,,,2024-09-24,2024-09-24,1480.4,4441.200000000001,-2960.8000000000006,0.0,0.0,471,90+,0.0
001778931077,Mutual of Omaha,,,,2024-11-01,2024-11-01,1480.4,4441.200000000001,-2960.8000000000006,0.0,0.0,433,90+,0.0
001791172681,Mutual of Omaha,,,,2024-11-30,2024-11-30,1342.45,4027.35,-2684.8999999999996,0.0,0.0,404,90+,0.0
001806375144,Mutual of Omaha,,,,2025-01-01,2024-12-31,1470.54,4411.62,-2941.08,0.0,0.0,373,90+,0.0
001826367850,Mutual of Omaha,,,,2025-02-01,2025-01-31,1493.87,4481.61,-2987.74,0.0,0.0,342,90+,0.0
001845388142,Mutual of Omaha,,,,2025-02-28,2025-02-28,1551.07,4653.21,-3102.1400000000003,0.0,0.0,314,90+,0.0
001861800562,Mutual of Omaha,,,,2025-03-31,2025-03-31,1553.87,4661.61,-3107.74,0.0,0.0,283,90+,0.0
001877562478,Mutual of Omaha,,,,2025-04-30,2025-04-30,1605.2,4815.6,-3210.4000000000005,0.0,0.0,253,90+,0.0
001891220027,Mutual of Omaha,,,,2025-05-31,2025-05-31,1511.6,9069.6,-7558.0,0.0,0.0,222,90+,0.0
