company_no,receipt_document_no,receipt_no,receipt_date,receipt_amount,receipt_type,receipt_source,receipt_subtype,customer_no,invoice_no,line_no,applied_amount,job_no,job_description
1,EFT01025749,3015,2026-01-01,107163.9,I,C,,106,6423,1,62739.9,4873,ECH MOB 700 W Parr Aspire Ste
1,EFT01025749,3015,2026-01-01,107163.9,I,C,,106,6428,1,23881.0,5132,ECH LG ICU Bathroom Water Dama
1,EFT01025749,3015,2026-01-01,107163.9,I,C,,106,6435,1,14108.0,5213,ECH LG Misc Work
1,EFT01025749,3015,2026-01-01,107163.9,I,C,,106,6441,1,6435.0,5207,ECH MOB 2500 Hosp Dr Bldg 11
1,152391,3013,2025-12-30,199966.58,I,C,,115,6349,1,16181.44,4583,SMSC Propane Tanks
1,152391,3013,2025-12-30,199966.58,I,C,,115,6415,1,159693.14,5119,SMSC Bldg Heat Boiler #1 Repla
1,152391,3013,2025-12-30,199966.58,I,C,,115,6421,1,6500.0,4976,SMSC Primex Clocks
1,152391,3013,2025-12-30,199966.58,I,C,,115,6422,1,17592.0,5055,SMSC Roof Hydrant
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6368,1,12576.86,4870,SH Fremont Palliative Care
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6371,1,3481.6,4164,SH 795 Locker Rms Convert Exam
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6372,1,1624.99,4698,SH MAC 11552 (2) ADA Opera
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6373,1,24117.36,4614,SH 160 Green Vall Rd Ste 202
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6381,1,389829.78,3725,SH Fremont MRI & CT Replacem
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6401,1,202652.1,4753,SH 301 OSF MA Pods
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6402,1,32748.6,4753,SH 301 OSF MA Pods
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6403,1,55303.15,4531,SH Fremont OBGYN Conversion
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6404,1,43855.97,4531,SH Fremont OBGYN Conversion
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6405,1,28138.19,4164,SH 795 Locker Rms Convert Exam
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6406,1,116169.59,4164,SH 795 Locker Rms Convert Exam
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6408,1,282882.77,4052,SH 2581 Sam ENT Relocation
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6413,1,13918.46,5079,SH 2751 Research Park Trellis
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6416,1,6961.5,4700,SH 4050 Dublin Conf Room AV U
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6417,1,111831.71,3468,SH 4050 Dublin-Generator
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6419,1,14032.54,4857,SH 2581 Sam Ste 202 Nuc Med
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6420,1,4669.85,4870,SH Fremont Palliative Care
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6425,1,4592.92,4964,SH 701 MV ADO's 3 Doors-Ultr
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6426,1,239358.12,3725,SH Fremont MRI & CT Replacem
1,152926,3014,2025-12-30,1669172.26,I,C,,115,6427,1,80426.2,4863,SH Fremont CT Replacement
1,3884384,3010,2025-12-29,100187.52,I,C,,167,6075,1,19342.43,3668,LPCH West G853 FCU project
1,3884384,3010,2025-12-29,100187.52,I,C,,167,6106,1,13340.96,4940,LPCH Relay Robotics
1,3884384,3010,2025-12-29,100187.52,I,C,,167,6378,1,67504.13,5167,Leak G857 Men's Locker
1,13217355,3011,2025-12-29,10411.05,I,C,,152,6409,1,10411.05,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4229,1,10980.43,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4230,1,405.95,3345,SLRH Joint Comm. 7 Auto Doors
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4231,1,6340.03,3346,SLRH Sterilizer Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4325,1,12085.5,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4326,1,617.3,3344,SLRH Joint Commission T.I.
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4327,1,2165.08,3345,SLRH Joint Comm. 7 Auto Doors
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4328,1,2894.09,3346,SLRH Sterilizer Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4329,1,3506.65,3362,SLRH Pharmacy Upgrades
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4452,1,10693.74,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4453,1,645.05,3344,SLRH Joint Commission T.I.
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4454,1,1064.26,3346,SLRH Sterilizer Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4455,1,7399.24,3362,SLRH Pharmacy Upgrades
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4715,1,141.31,3345,SLRH Joint Comm. 7 Auto Doors
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4716,1,11501.0,3362,SLRH Pharmacy Upgrades
1,13218280,3012,2025-12-29,137671.95,I,C,,152,4717,1,5446.14,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5122,1,1508.49,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5123,1,1510.32,3344,SLRH Joint Commission T.I.
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5124,1,116.44,3345,SLRH Joint Comm. 7 Auto Doors
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5126,1,5845.46,3362,SLRH Pharmacy Upgrades
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5167,1,2896.98,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5168,1,621.26,3344,SLRH Joint Commission T.I.
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5169,1,10799.95,3362,SLRH Pharmacy Upgrades
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5240,1,8533.43,3342,SLRH CT Scan Replacement
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5241,1,1946.65,3344,SLRH Joint Commission T.I.
1,13218280,3012,2025-12-29,137671.95,I,C,,152,5242,1,60.72,3345,SLRH Joint Comm. 7 Auto Doors
