Account,Account_Num,Account_Description,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01
1,1,Temporary Account,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,-409.54,409.54,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,-170.18,,170.18,,,,,,,,,,,0.0,,,-141.35,,0.0,141.35,0.0,,,,,0.0,,,,,,0.0,0.0
1000,1000,DO Not Use,,200000.0,-68118.96,-33842.79,19335.61,-102554.96,102896.38,180011.32,-1718.35,94776.77,661867.74,-398571.65,-633331.28,13159.7,105928.6,-95477.26,548623.61,-580884.43,9259.58,-13567.88,5175.36,-318.57,-410.38,3618.45,-355.29,-577.36,-10520.08,-1008.17,-343.6,-238.69,1473.18,1443.24,-2983.01,840.92,5401.3,-398.93,-878.0,-1216.07,2204.33,-481.05,-2161.42,-937.6,-5120.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,1001,Checking - Bridge,,,,,,,,,,,,99907.46,234139.01,-103606.56,35240.76,54563.24,-399427.78,26966.55,-226521.55,465868.02,157391.75,201928.57,313320.15,-607055.61,600114.81,-754458.45,322649.05,-228896.68,326739.31,-561578.75,-30772.23,239230.81,76844.64,25783.0,686883.34,-334345.12,-415103.1,64848.5,132104.14,-89458.24,37718.57,74552.39,35886.27,588492.4,-804450.48,108956.5,211396.93,-461324.43,610129.41,553442.45,-1419142.85,566423.62,-711896.86,520554.97,-112572.48,890700.27,17024.89,-618253.09,-580221.17,493079.82,74576.1,-283096.74,88250.29,-153994.26,-331653.22,128163.72,183931.71,48122.39,260166.53,-264582.72,371340.39,-277131.65,62772.86,-260540.37,-271917.84,215365.69,184898.58,-161080.94,-500467.99,179077.98,339620.86,37308.01,-187247.8,596183.52,-757626.86,390957.64,316074.3,-706333.52,316012.37,-46574.98,1084725.8,-488516.4,-780190.29,47600.1,768985.22,-388525.67,537054.53,-228186.45,-493305.32,53335.62,355532.78,-496564.66,173127.87,-616818.0,122828.2,638576.4,-419126.24,-929532.42,872244.78,280507.84,-88950.04,-215716.91,-189912.21,319909.27,-423143.27,731882.67,-638723.49,856612.28,-2212485.49,1893752.07,-575708.07,-562623.5,769928.45,-2308548.22,285078.3,2018555.44,737346.88,-381100.97,66479.64,-1339549.58,802733.8,186044.72,
1003,1003,Savings - Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100010.27,29.73,150058.65,84.96,84.99,82.28,91.91,102.93,106.39,-149941.8,50050.18,850355.89,-349726.94,400293.34,-799807.51,260219.02,-169836.73,-269906.45,585210.71,1000180.67,-834664.0,-699949.9,475102.54,-594961.58,1000035.79,-99854.97,200123.99,-114864.51,10094.46,260182.46,500168.16,-699829.41,-558949.75,10015.03,39.15,500059.88,400126.23,179.7,2089235.82,445.38,-499570.48,-599660.85,-650710.75,215.82,-1649821.83,500038.71,400080.7,-99896.32,400160.41,-399917.69,-474913.16,108.66,2100986.78,701449.07,-1098036.85,-298574.11,-898832.51,1355.61,2151.64,505100.56,-95198.28,4576.08,-93407.8,1257502.42,562111.24,264515.06,-285266.26,-36777.81,-1423500.71,606725.83,-872336.83,407888.95,-462074.36,757017.29,8076.74,2461077.09,-1483432.83,-537873.48,10990.2,2063804.51,-1507820.39,-1037866.07,2610781.15,-1236947.49,5504278.93,1139788.21,-2751200.04,3256453.9,4009934.11,-2501836.02,3949944.0,-584016.54,-2759097.21,
1004,1004,Brokerage - Charles Schwab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300606.83,250030.95,467.62,500289.63,-49473.63,335.98,1062.84,4583.9,1012.06,946.7,569.99,23.26,6.33,8.7,450.88,,,94.59,69.18,,,,,,,,,,,,,482.03,8551.25,,0.0,,,,,,115000.0,,,115374.0,,7456.25,6342.2,74262.5,4656.25,8030.0,16391.55,,7216.25,15480.0,6441.25,-298825.2,,8476.25,8057.77,6100.0,8174.0,5865.0,9900.0,8251.25,6926.25,16505.0,,-241098.6,7984.5,8728.5,8437.5,8634.0,,22231.0,11623.5,9445.5,7974.0,,8787.0,-343296.5,
1005,1005,Payroll - Bridge,,,,,,,,,,,,99473.72,99592.16,-113137.18,13785.68,-25924.0,20960.52,21548.85,-104131.25,-9215.42,11777.72,-7445.35,11924.86,-13204.55,-2917.76,10879.98,56712.43,17960.14,-24436.04,-56068.43,3055.29,98365.09,-27516.15,18475.16,-18810.19,37423.89,22898.16,-18399.25,4072.16,3460.46,-27801.06,-5485.44,20538.12,137953.13,-76247.11,21222.88,142038.68,-241608.07,553.11,-95978.2,94866.87,10482.48,-108204.88,-790.72,-2295.04,102805.9,12632.07,73503.2,-62180.97,-122799.51,203454.48,-83011.45,-830.46,552.52,-94630.4,-16402.87,119546.47,-698.44,5775.64,-104685.62,212871.09,-241773.23,139680.47,-5790.0,104014.59,-83505.96,-5459.47,-6102.64,17233.4,-50412.82,-4808.77,-83879.04,126657.66,-57898.14,-73627.84,125343.15,110595.15,-123726.0,-58973.54,57525.61,166628.46,26220.9,-36745.41,-20939.57,28305.98,120716.47,-312499.58,-29462.12,-60308.94,-10567.33,69329.04,-71421.5,-340.19,66173.36,-66327.84,-46.45,64199.58,-63886.42,204173.28,-6349.1,-72972.6,2366.72,-2557.82,5122.7,110153.08,-115244.94,767.04,108547.86,-242257.36,138335.5,-122030.33,-11907.72,435.16,158675.23,-155629.42,-558.06,103983.17,-103160.17,-1836.13,-25490.35,15519.05,5264.11,-96467.22
1006,1006,Brokerage - ETrade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000.0,,,,,,129.44,,-10129.44,,,,,,,,,,,,,,,,,,,,,,,
1007,1007,CD - Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43100.43,100.67,97.64,101.13,98.1,,
1030,1030,Employee advances,,,,,8000.0,8000.0,8000.0,8000.0,,,76.0,-32076.0,178.88,10408.05,0.0,8818.89,-19143.82,-262.0,111.8,450.0,-561.8,77.12,46.21,-123.33,,,,1915.34,-1791.34,19.26,-87.27,-6.99,,,,-49.0,0.0,,,222.21,-222.21,33.57,-33.57,,,,,168.06,-124.36,-43.7,1000.0,3609.7,-4609.7,0.0,,0.0,55.8,1204.2,-1260.0,1454.06,-10000.0,-5000.0,0.0,,13545.94,43.59,681.4,-280.29,-317.71,-90.6,,104.5,,-115.39,-25.5,,,300.0,,1787.92,-300.0,-2076.82,-699.64,988.54,-3505.28,348.26,39.23,1093.01,535.46,300.0,64.54,360.0,300.0,405.7,300.0,-240.92,,,245.4,-245.4,43.91,78.34,,-122.25,,675.0,-390.01,-284.99,,,,,,0.0,,0.0,13.64,-13.64,,0.0,-0.0,,120000.0,149267.33,-267.33,,,0.0,,0.0,8380.0,-184785.0,
1040,1040,FCP Holding account,,,,,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22608.88,-22608.88,0.0,0.0,0.0,0.0,26271.45,-26294.52,23.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38690.82,-38690.82,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39752.47,-39752.47,-564.0,-256.0,-384.64,42781.95,-362.79,-41214.52,19501.05,-19501.05,18862.39,-18862.39,22612.54,-22612.54,0.0,22755.94,-22755.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32539.59,-32539.59,0.0,32615.4,-32615.4,0.0,31562.4,-31562.4,36753.22,-703.62,-36049.6,0.0,0.0,0.0,0.0,0.0,142.35,40402.29,-40402.29,-142.35,0.0,0.0,-0.0,53101.12,-53101.12,0.0,51003.15,-51003.15,-0.0,0.0,0.0,0.0,-56153.95
1050,1050,Underbillings,,,,,,,,,,,,240711.0,-240711.0,,,,,,,,,,,847163.0,-847163.0,,,,,,,,,,,1874225.0,-1874225.0,,,,,,,,,,,1784568.0,-1784568.0,,,,,,,,,,,939096.0,,,,,,,,,,,,1021419.0,,0.0,,,,,,,,,,-334847.0,,,,,,,,,,,,1243790.0,,,,,,,,,,,,-595341.0,13.09,1.34,,,,,,,,,,956944.0,-405827.0,13222.0,441694.0,-628442.0,250628.0,705447.0,-593946.0,814029.0,3357559.0,542057.0,-784867.0,0.0,
1090,1090,Undeposited Funds,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1959.73,-21234.27,19274.54,0.0,,,,,3680.52,-3680.52,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,
1100,1100,Contracts receivable,,,13455.0,25015.74,38585.3,106523.56,257882.34,-196228.68,352884.38,319106.67,-631169.99,36071.99,813579.41,-215248.77,-243539.03,451227.01,-929483.19,2066800.1,-372505.0,-336488.55,-69154.32,-547672.02,265998.03,240898.97,-475521.58,582744.56,-249360.97,-184847.5,92436.18,172031.15,156619.5,-104719.83,912633.92,-388237.45,841245.62,-70164.57,-416197.04,1183158.94,-211255.12,909161.82,1261842.84,-1776266.94,653215.13,-1441280.03,2344168.03,-2107235.93,517608.26,-2205669.61,-397636.86,760279.71,-687087.54,-121924.67,1254620.96,-168617.99,1970306.71,-1542244.2,-1009662.81,1575627.85,-806554.37,-21808.24,121050.98,-664480.64,974498.07,-906437.98,-14060.51,224949.39,-148543.42,-21124.75,641084.76,-686412.16,282579.51,295793.67,8085.96,370397.68,365815.52,-1110068.64,2445729.06,-1906510.64,46047.55,12288.32,-470832.37,663448.0,123850.34,1383080.9,-324261.81,-512000.74,-657840.94,950021.74,1319474.0,292986.93,-162885.02,-1376701.53,141780.72,-811491.53,876259.1,252598.34,168504.46,430565.28,-373217.63,543975.87,-225038.99,2019505.82,-1523198.13,-285416.89,137271.71,-347257.17,820384.74,1537651.46,-2861084.17,1112424.53,-435254.2,114988.17,-292046.39,1597256.01,-1988749.99,224072.18,509050.25,609798.59,1185701.29,-800974.87,1377253.42,-1268925.58,4611692.84,-175367.93,-112875.6,2279749.8,-1790957.92,-5746037.27,2250960.04,-4254094.74,1624428.03,572715.93,
1105,1105,Retention receivables,,,,,,6198.46,7877.06,6490.51,60726.4,84873.52,24721.32,71131.23,79493.37,58139.35,-71841.0,97531.01,28740.13,-66947.94,82850.73,102244.2,74817.31,66926.71,55419.41,-90337.94,-136419.08,-79437.38,33798.12,29858.43,-41828.43,-1532.11,10355.57,77423.78,92377.61,-121549.38,197871.71,195672.37,65003.73,155157.82,256637.68,201701.25,239704.2,99667.86,117510.22,77277.73,-64026.99,47683.9,278996.56,-44022.1,-148523.62,-266017.28,91143.83,64157.95,130346.65,52140.0,-227892.92,47673.67,-17870.61,202495.25,-283556.73,-143868.78,-617633.97,-356574.17,55105.02,-218758.23,28038.06,-13982.9,-12610.29,37403.6,90046.98,38164.19,-102203.2,98275.54,55152.75,91957.86,93113.12,12871.74,-158038.87,46912.32,-8088.13,14086.18,24042.38,111222.45,-419888.77,191009.39,52491.21,118443.9,51363.76,28828.21,-230697.56,52754.98,174219.85,156470.46,-52905.63,-186536.62,243377.01,-146501.7,186803.76,148730.14,94597.88,127589.43,-111329.71,226998.04,236245.35,-44059.54,236348.14,-114188.55,-664532.52,218443.68,14770.31,233345.83,99175.81,-174873.99,45052.66,369695.63,9365.15,204764.44,-1692.25,227822.01,-828774.88,216549.81,20088.09,102557.64,304274.22,301672.9,438299.15,445632.6,465513.77,156663.42,-1274495.17,99473.21,-141139.95,92016.41,
