Job_No,Job_Description,Billed_Revenue
,,-8536488.39
1,CA Overhead / Office Admin,-621104.0
1001,NICU Monitors,28583.0
1004,DH PVC Vacuum Line Replacement,988997.0
1005,Loading Dock Infills,13455.0
1008,Wall Repair & Power Trace,8926.0
1009,BHU Room 403 Demo,8927.0
1010,Staff Lounge 2NE - Door Swing,5110.0
1013,Lab Equipment,5467.0
1014,Spruce Apts Dry Rot,41392.09
1015,New Counter @ Radiology,8214.0
1016,Super Poles,15412.98
1019,IT MDF Room Wood Conceal,920.7
1021,Removable Bollards Main Park,3299.0
1023,Emergency Phones,11994.0
1024,High Pressure Gas Line,89000.0
1026,DH- Patient Rm Plumb Fixture,52126.0
1028,Dr. Curatola Residence,24000.0
1029,Parking Lot Demolition,350752.0
1030,DH Nuclear Medicine Walkway,6751.0
1032,Leavy Bldg Pipe Installation,28849.0
1034,Infection Control-Dominican,1132.04
1035,SCU Code Blue Phones,7716.0
1036,BHU Conference Room,14900.0
1037,Floor 2 South East,1062305.89
1040,The Cove at Tiburon,33025.0
1042,BHU Two Room Demo,30651.33
1043,RR Light Base @ RMC,4000.0
1046,Silver Creek Clinic Expansion,34501.0
1048,5234 Yorkton Way Core Hole,650.0
1049,Kennel for Therapy Dog,23396.0
1050,BHU - Office Refloor,2846.0
1054,BHU-Compressor Relocation,21003.0
1058,MVC 2nd Floor SE Nurse Call,320312.0
1059,IHC 2039 Forest Ave. Suite 105,1729685.5
1060,Park Royal Apartments,5499.0
1061,DH-CNU3762 LTE-Outdoor,2500.0
1062,"AT&T 4"" Conduit Trench",12500.0
1063,Concrete Patch/Debris Removal,8135.0
1064,ED Bldg Construction Office DW,1030.0
1065,Central Distribution Wall Demo,1363.0
1066,ATM Scanning,1311.0
1067,SCU 455 Charging,4418.0
1068,2-West Acrovyn Door Replace,5432.0
1070,SCU Bannan Labs 404,1012010.0
1071,1st Floor Remodel,41264.0
1073,Park Pavilion Conf. Rm Op Wall,29979.0
1074,GBB - Miscellaneous projects,265.0
1075,Bathroom Finish Upgrade,2749.0
1076,Kitchen Eliason Door,4604.0
1077,1405 BHS ADA Upgrades,169831.0
1078,Rose Garden Monument Removal,1290.0
1081,DSCH AHU Replacement Project,617819.0
1082,DH- Short Stay SS Repair,9717.0
1083,Parking Lot A Bollards,4449.0
1084,Med Gas Manifold Replacement,54767.0
1085,Sterile Processing Wall Patch,2667.0
1086,BHU Repairs,31438.0
1087,Old Main Restroom Path,41206.52
1088,1408 New Main ADA Upgrades,402498.03
1089,Chelsea & Syd Boutiques,45344.0
1090,Women's Hospital Door Replace,66355.32
1091,Fire Suppression System,63598.0
1092,Conversion Admin Bldg,855740.0
1094,Electrical Trench,1204.0
1095,1501 Women's Hosp NPC Compl,318441.0
1097,Santa Teresa Village Sales,12142.0
1098,OR #1 Electrical Support,2209.0
1101,Time Released Door Closers,11676.0
1103,Clinical Research Make Ready,4323.66
1105,Silver Creek TI,923442.0
1106,Park West Apts - Rengstorff,8940.0
1110,Lexington Ave. Planting Area,29630.0
1111,Diesel Tank Bollards,5816.0
1113,1195 Willow St. Foundation,16000.0
1114,205 S. Dr. Fogarty Leak Repair,4763.48
1116,Directories & Signage,47074.0
1118,2-West Breakroom Door,5887.0
1119,F.A. Pinched Wire Assistance,1069.0
1122,Valet Parking/Bollards,11932.0
1125,Softball Concessions,159245.0
1126,Reserve Apts Mountain View,46600.0
1127,Santa Clara Mission Cemetery,6250.0
1128,Madrone,22302.32
1130,Auxiliary Conference Room,20798.0
1132,deSaiset Museum Artwork Instal,1352.0
1133,Bus Stop Removal,1358.0
1134,Property Fence Stakes,900.0
1136,Short Stay Entrance Concrete,4773.0
1139,Building 12 Door Repair,2491.0
1140,Door Vision Lites,5972.81
1143,87 Encina HVAC/Elec Pre-test,14198.24
1145,Boiler Room Drywall Repairs,581.0
1146,Fire Alarm Faults/Pinched Wire,1136.0
1147,ATT Fiber Pull Project,27317.0
1148,Meridian Toilet Replacement,1971.0
1149,Santa Clara Wellness Center,1249.0
1150,Forest Ave. Toilet Replacement,2491.0
1152,Weather Stripping at Chapel,256.0
1153,Concrete at Soquel Drive,9135.0
1154,Mammography Equipment Install,120912.0
1155,We Care Sign Install,390.0
1156,MotherBaby Toilet Ring Replace,22614.01
1158,Building 11 Drywall,679.89
1160,BHU Flooring Containment,1025.0
1162,Shady Lane,3271.0
1163,Katz Cancer Center Wig Room,10353.0
1165,2581 Samaritan Fertility Fin.,10927.0
1166,701 1SE059 Call Center,108588.99
1167,999 Taylor Street Demo,80126.72
1168,360 Dardanelli Lane Suite 2G,114408.0
1169,12' x 12' Concrete Pad,3800.0
1170,de Saiset Plaque Installation,357.0
1172,2581 Samaritan Fertility Data,2131.0
1173,New Main 2B-IR OR #1&2,3916.0
1174,2708 Orchard Parkway *SJ,11812.0
1175,Slat Wall,1180.0
1176,Emergency Dept. Renovation,1348958.0
1178,Abbott Labs Casework RR,13234.0
1179,Insulation & Drywall at Office,2217.0
1182,Shower Valve at 2 NE Shower Ro,2905.0
1183,Pharmacy Drywall Repair,931.0
1184,Maternal Fetal Ste. 231 Expans,96874.0
1187,Pharmacy Contain & Drywall,4504.0
1189,701 2SW 036 Lab Breakroom,129073.06
1190,2nd Old Main Corridor Ceiling,1193.36
1191,Building 11 HVAC Drywall Rep,5360.0
1192,2660 Grant Suite D,1079.0
1193,1425 IMOB Make Ready Prep,1897298.25
1194,2039 Forest Dental Clinic,788879.92
1195,Core Holes at Race & Park,858.0
1197,DH Monument Sign Removal,922.0
